question,text
Triết học diễn tả quan niệm của con người dưới dạng gì?,"<answer> hệ thống các phạm trù, quy luật <context> Khác với huyền thoại và giáo lý của tôn giáo, triết học diễn tả quan niệm của con người dưới dạng hệ thống các phạm trù, quy luật đóng vai trò như những bậc thang trong quá trình nhận thức thế giới. Với ý nghĩa như vậy, triết học được coi như trình độ tự giác trong quá trình hình thành và phát triển của thế giới quan. Nếu thế giới quan được hình thành từ toàn bộ tri thức và kinh nghiệm sống của con người; trong đó tri thức của các khoa học cụ thể là cơ sở trực tiếp cho sự hình thành những quan niệm nhất định về từng mặt, từng bộ phận của thế giới, thì triết học, với phương thức tư duy đặc thù đã tạo nên hệ thống lý luận bao gồm những quan niệm chung nhất về thế giới với tư cách là một chỉnh thể. Như vậy, triết học là hạt nhân lý luận của thế giới quan; triết học giữ vai trò định hướng cho quá trình củng cố và phát triển thế giới quan của mỗi cá nhân, mỗi cộng đồng trong lịch sử. "
Nguyên tắc quan trọng phân biệt hai trường phái lớn trong triết học là gì?,"<answer> vật chất, giới tự nhiên <context> Việc giải quyết mặt thứ nhất vấn đề cơ bản của triết học đã chia các nhà triết học thành hai trường phái lớn. Những người cho rằng vật chất, giới tự nhiên là cái có trước và quyết định ý thức của con người được coi là các nhà duy vật; học thuyết của họ hợp thành các môn phái khác nhau của chủ nghĩa duy vật. Ngược lại, những người cho rằng, ý thức, tinh thần có trước giới tự nhiên được gọi là các nhà duy tâm; họ hợp thành các môn phái khác nhau của chủ nghĩa duy tâm. "
Chủ nghĩa duy vật được thể hiện dưới bao nhiêu hình thức cơ bản?,"<answer> chủ nghĩa duy vật chất phác, chủ nghĩa duy vật siêu hình và chủ nghĩa duy vật biện chứng. <context> Cho đến nay, chủ nghĩa duy vật đã được thể hiện dưới ba hình thức cơ bản: chủ nghĩa duy vật chất phác, chủ nghĩa duy vật siêu hình và chủ nghĩa duy vật biện chứng. Chủ nghĩa duy vật chất phác là kết quả nhận thức của các nhà triết học duy vật thời cổ đại. Chủ nghĩa duy vật thời kỳ này trong khi thừa nhận tính thứ nhất của vật chất đã đồng nhất vật chất với một hay một số chất cụ thể và những kết luận của nó mang nặng tính trực quan nên ngây thơ, chất phác. Tuy còn rất nhiều hạn chế, nhưng chủ nghĩa duy vật chất phác thời cổ đại về cơ bản là đúng vì nó đã lấy giới tự nhiên để giải thích giới tự nhiên, không viện đến Thần linh hay Thượng đế. "
Chủ nghĩa duy vật siêu hình là gì và thể hiện ra sao?,"<answer> là hình thức cơ bản thứ hai của chủ nghĩa duy vật <context> Chủ nghĩa duy vật siêu hình là hình thức cơ bản thứ hai của chủ nghĩa duy vật, thể hiện khá rõ ở các nhà triết học thế kỷ XV đến thế kỷ XVIII và đỉnh cao vào thế kỷ thứ XVII, XVIII. Đây là thời kỳ mà cơ học cổ điển thu được những thành tựu rực rỡ nên trong khi tiếp tục phát triển quan điểm chủ nghĩa duy vật thời cổ đại, chủ nghĩa duy vật giai đoạn này chịu sự tác động mạnh mẽ của phương pháp tư duy siêu hình, máy móc - phương pháp nhìn thế giới như một cỗ máy khổng lồ mà mỗi bộ phận tạo nên nó luôn ở trong trạng thái biệt lập và tĩnh tại. Tuy không phản ánh đúng hiện thực nhưng chủ nghĩa duy vật siêu hình cũng đã góp phần không nhỏ vào việc chống lại thế giới quan duy tâm và tôn giáo, điển hình là thời kỳ chuyển tiếp từ đêm trường trung cổ sang thời phục hưng. "
Ai đã xây dựng chủ nghĩa duy vật biện chứng?,"<answer> C.Mác và Ph.Ăngghen <context> Chủ nghĩa duy vật biện chứng là hình thức cơ bản thứ ba của chủ nghĩa duy vật, do C.Mác và Ph.Ăngghen xây dựng vào những năm 40 của thế kỷ XIX, sau đó được V.I.Lênin phát triển. Với sự kế thừa tinh hoa của các học thuyết triết học trước đó và sử dụng khá triệt để thành tựu của khoa học đương thời, chủ nghĩa duy vật biện chứng, ngay từ khi mới ra đời đã khắc phục được hạn chế của chủ nghĩa duy vật chất phác thời cổ đại, chủ nghĩa duy vật siêu hình và là đỉnh cao trong sự phát triển của chủ nghĩa duy vật. Chủ nghĩa duy vật biện chứng không chỉ phản ánh hiện thực đúng như chính bản thân nó tồn tại mà còn là một công cụ hữu hiệu giúp những lực lượng tiến bộ trong xã hội cải tạo hiện thực ấy. "
Chủ nghĩa duy tâm chia thành bao nhiêu phái?,"<answer> chủ nghĩa duy tâm chủ quan và chủ nghĩa duy tâm khách quan. <context> Chủ nghĩa duy tâm chia thành hai phái: chủ nghĩa duy tâm chủ quan và chủ nghĩa duy tâm khách quan. "
Chủ nghĩa duy tâm chủ quan thừa nhận điều gì về ý thức con người?,"<answer> tính thứ nhất của ý thức con người. <context> Chủ nghĩa duy tâm chủ quan thừa nhận tính thứ nhất của ý thức con người. Trong khi phủ nhận sự tồn tại khách quan của hiện thực, chủ nghĩa duy tâm chủ quan khẳng định mọi sự vật, hiện tượng chỉ là phức hợp những cảm giác của cá nhân, của chủ thể. "
Chủ nghĩa duy tâm khách quan thừa nhận điều gì về ý thức?,"<answer> tính thứ nhất của ý thức <context> Chủ nghĩa duy tâm khách quan cũng thừa nhận tính thứ nhất của ý thức nhưng theo họ đấy là là thứ tinh thần khách quan có trước và tồn tại độc lập với con người. Thực thể tinh thần khách quan này thường mang những tên gọi khác nhau như ý niệm, tinh thần tuyệt đối, lý tính thế giới, v.v.."
Chủ nghĩa duy tâm triết học cho rằng gì về mối quan hệ giữa ý thức và giới tự nhiên?,"<answer> ý thức, tinh thần là cái có trước và sản sinh ra giới tự nhiên <context> Chủ nghĩa duy tâm triết học cho rằng ý thức, tinh thần là cái có trước và sản sinh ra giới tự nhiên; như vậy là đã bằng cách này hay cách khác thừa nhận sự sáng tạo ra thế giới. Vì vậy, tôn giáo thường sử dụng các học thuyết duy tâm làm cơ sở lý luận, luận chứng cho các quan điểm của mình. Tuy nhiên, có sự khác nhau giữa chủ nghĩa duy tâm triết học với chủ nghĩa duy tâm tôn giáo. Trong thế giới quan tôn giáo, lòng tin là cơ sở chủ yếu và đóng vai trò chủ đạo. Còn chủ nghĩa duy tâm triết học lại là sản phẩm của tư duy lý tính dựa trên cơ sở tri thức và lý trí. "
Theo Phật giáo khái niệm nhân quả có ý nghĩa gì?,"<answer> một chuỗi liên tục không gián đoạn và không hỗn loạn <context> Phật giáo nhìn nhận thế giới tự nhiên cũng như nhân sinh bằng sự phân tích nhân quả. Theo Phật giáo, nhân quả là một chuỗi liên tục không gián đoạn và không hỗn loạn, có nghĩa là nhân nào quả ấy. Mối quan hệ nhân quả này Phật giáo thường gọi là nhân duyên với ý nghĩa là một kết quả của nguyên nhân nào đó sẽ là nguyên nhân của một kết quả khác. Về thế giới tự nhiên, bằng sự phân tích nhân quả, Phật giáo cho rằng không thể tìm ra một nguyên nhân đầu tiên cho vũ trụ, có nghĩa là không có một đấng Tối cao (Brahman) nào sáng tạo ra vũ trụ. Cùng với sự phủ định Brahman, Phật giáo cũng phủ định phạm trù(Anatman, nghĩa là không có tôi) và quan điểm vô thường. "
Quan điểm vô ngã trong Phật giáo cho rằng về sự tồn tại của vạn vật như thế nào?,"<answer> là sự giả hợp do hội đủ nhân duyên nên thành ra có <context> Quan điểm vô ngã cho rằng vạn vật trong vũ trụ chỉ là sự giả hợp do hội đủ nhân duyên nên thành ra có (tồn tại). Ngay bản thân sự tồn tại của thực thể con người chẳng qua là do ngũ uẩn (5 yếu tố) hội tụ lại là: sắc (vật chất), thụ (cảm giác), tưởng (ấn tượng), hành (suy lý) và thức (ý thức). Như vậy là không có cái gọi là tôi (vô ngã). "
Quan điểm vô thường trong Phật giáo diễn giải về sự biến đổi của vạn vật như thế nào?,"<answer> sinh, trụ, dị, diệt <context> Quan điểm vô thường cho rằng vạn vật biến đổi vô cùng theo chu trình bất tận: sinh, trụ, dị, diệt. Vậy thì có có - không không luân hồi bất tận; thoáng có, thoáng không, cái còn thì chẳng còn, cái mất thì chẳng mất. "
Phật giáo sau khi Siddharta mất đã chia thành những bộ phận nào?,"<answer> Thượng toạ và Đại chúng. <context> Sau khi Siddharta mất, Phật giáo đã chia thành hai bộ phận: Thượng toạ và Đại chúng. Phái Thượng tọa bộ (Theravada) chủ trương duy trì giáo lý cùng cách hành đạo thời Đức Phật tại thế; phái Đại chúng bộ (Mahasamghika) với tư tưởng cải cách giáo lý và hành đạo cho phù hợp với thực tế. "
Trung Quốc cổ đại có bao nhiêu miền và khác nhau như thế nào?,"<answer> Miền Bắc và Miền Nam. <context> Trung Hoa cổ đại là một quốc gia rộng lớn có hai miền khác nhau. Miền Bắc có lưu vực sông Hoàng Hà, xa biển, khí hậu lạnh, đất đai khô khan, cây cỏ thưa thớt, sản vật hiếm hoi. Miền Nam có lưu vực sông Dương Tử khí hậu ấm áp, cây cối xanh tươi, sản vật phong phú. "
Sự kiện nào đánh dấu sự thống nhất của Trung Quốc cổ đại?,"<answer> Tần Thủy Hoàng thống nhất Trung Hoa <context> Trung Hoa cổ đại có lịch sử lâu đời từ cuối thiên niên kỷ III trước Công Nguyên kéo dài tới tận thế kỷ III trước Công Nguyên với sự kiện Tần Thủy Hoàng thống nhất Trung Hoa bằng uy quyền bạo lực mở đầu thời kỳ phong kiến tập quyền. Trong khoảng 2000 năm lịch sử ấy, lịch sử Trung Hoa được phân chia làm hai thời kỳ lớn: Thời kỳ từ thế kỷ IX trước Công Nguyên về trước và thời kỳ từ thế kỷ VIII đến cuối thế kỷ III trước Công Nguyên. "
Ai là người lập ra nhà Chu trong thời kỳ thứ nhất của lịch sử Trung Quốc cổ đại?,"<answer> Chu Vũ Vương <context> Thời kỳ thứ nhất có các triều đại nhà Hạ, nhà Thương và Tây Chu. Theo các văn bản cổ, nhà Hạ ra đời khoảng thế kỷ XXI trước Công Nguyên, là cái mốc đánh dấu sự mở đầu cho chế độ chiếm hữu nô lệ ở Trung Hoa. Khoảng nửa đầu thế kỷ XVII trước Công Nguyên, người đứng đầu bộ tộc Thương là Thành Thang đã lật đổ Vua Kiệt nhà Hạ, lập nên nhà Thương đặt đô ở đất Bạc, tỉnh Hà Nam bây giờ. Đến thế kỷ XIV trước Công Nguyên, Bàn Canh dời đô về đất Ân thuộc huyện An Dương Hà Nam ngày nay. Vì vậy, nhà Thương còn gọi là nhà Ân. Vào khoảng thế kỷ XI trước Công Nguyên, Chu Vũ Vương, con Chu Văn Vương đã giết Vua Trụ nhà Thương lập ra nhà Chu (giai đoạn đầu của nhà Chu là Tây Chu) đưa chế độ nô lệ ở Trung Hoa lên đỉnh cao. Trong thời kỳ thứ nhất này, những tư tưởng triết học đã xuất hiện, tuy chưa đạt tới mức là một hệ thống. Thế giới quan thần thoại, tôn giáo và chủ nghĩa duy tâm thần bí là thế giới quan thống trị trong đời sống tinh thần xã hội Trung Hoa bấy giờ. Tư tưởng triết học thời kỳ này đã gắn chặt thần quyền và thế quyền và ngay từ đầu nó đã lý giải sự liên hệ mật thiết giữa đời sống chính trị - xã hội với lĩnh vực đạo đức luân lý. Đồng thời, thời kỳ này đã xuất hiện những quan niệm có tính chất duy vật mộc mạc, những tư tưởng vô thần tiến bộ đối lập lại chủ nghĩa duy tâm, thần bí thống trị đương thời. "
Ai là người đầu tiên đề xuất giải thể chế độ nô lệ và hình thành xã hội phong kiến trong lịch sử Trung Hoa cổ đại?,"<answer> Lưu Hâm <context> Thời kỳ thứ hai là thời kỳ Đông Chu (thường gọi là thời kỳ Xuân Thu - Chiến Quốc) là thời kỳ chuyển biến từ chế độ chiếm hữu nô lệ sang chế độ phong kiến. Dưới thời Tây Chu, đất đai thuộc về nhà Vua thì dưới thời Đông Chu quyền sở hữu tối cao về đất đai thuộc tầng lớp địa chủ và chế độ sở hữu tư nhân về ruộng đất hình thành. Từ đó, sự phân hóa sang hèn dựa trên cơ sở tài sản xuất hiện. Xã hội lúc này ở vào tình trạng hết sức đảo lộn. Sự tranh giành địa vị xã hội của các thế lực cát cứ đã đẩy xã hội Trung Hoa cổ đại vào tình trạng chiến tranh khốc liệt liên miên. Đây chính là điều kiện lịch sử đòi hỏi giải thể chế độ nô lệ thị tộc nhà Chu, hình thành xã hội phong kiến; đòi hỏi giải thể nhà nước của chế độ gia trưởng, xây dựng nhà nước phong kiến nhằm giải phóng lực lượng sản xuất, mở đường cho xã hội phát triển. Sự biến chuyển sôi động đó của thời đại đã đặt ra và làm xuất hiện những tụ điểm, những trung tâm các kẻ sĩ luôn tranh luận về trật tự xã hội cũ và đề ra những hình mẫu của một xã hội trong tương lai. Lịch sử gọi thời kỳ này là thời kỳ Bách gia chư tử (trăm nhà trăm thầy), Bách gia minh tranh (trăm nhà đua tiếng). Chính trong quá trình ấy đã sản sinh các nhà tư tưởng lớn và hình thành nên các trường phái triết học khá hoàn chỉnh. Đặc điểm các trường phái này là luôn lấy con người và xã hội làm trung tâm của sự nghiên cứu, có xu hướng chung là giải quyết những vấn đề thực tiễn chính trị - đạo đức của xã hội. Theo Lưu Hâm (đời Tây Hán), Trung Hoa thời kỳ này có chín trường phái triết học chính (gọi là Cửu lưu hoặc Cửu gia) là: Nho gia, Mặc gia, Đạo gia, Âm Dương gia, Danh gia, Pháp gia, Nông gia, Tung hoành gia, Tạp gia. Có thể nói, trừ Phật giáo được du nhập từ ấn Độ sau này, các trường phái triết học được hình thành vào thời Xuân Thu - Chiến Quốc được bổ sung hoàn thiện qua nhiều giai đoạn lịch sử trung cổ, đã tồn tại trong suốt quá trình phát triển của lịch sử tư tưởng Trung Hoa cho tới thời cận đại. "
Tác động của những tư tưởng của nhà tư tưởng Trung Hoa cổ đại là gì?,"<answer> xác lập một trật tự xã hội theo mô hình chế độ quân chủ phong kiến trung ương tập quyền <context> Nền triết học Trung Hoa cổ đại ra đời vào thời kỳ quá độ từ chế độ chiếm hữu nô lệ lên xã hội phong kiến. Trong bối cảnh lịch sử ấy, mối quan tâm hàng đầu của các nhà tư tưởng Trung Hoa cổ đại là những vấn đề thuộc đời sống thực tiễn chính trị - đạo đức của xã hội. Tuy họ vẫn đứng trên quan điểm duy tâm để giải thích và đưa ra những biện pháp giải quyết các vấn đề xã hội, nhưng những tư tưởng của họ đã có tác dụng rất lớn, trong việc xác lập một trật tự xã hội theo mô hình chế độ quân chủ phong kiến trung ương tập quyền theo những giá trị chuẩn mực chính trị - đạo đức phong kiến phương Đông. "
Tại sao những tư tưởng về Âm Dương Ngũ hành của người Trung Hoa được coi là đặc sắc?,"<answer> mang tính chất duy vật và biện chứng <context> Bên cạnh những suy tư sâu sắc về các vấn đề xã hội, nền triết học Trung Hoa thời cổ còn cống hiến cho lịch sử triết học thế giới những tư tưởng sâu sắc về sự biến dịch của vũ trụ. Những tư tưởng về Âm Dương, Ngũ hành tuy còn có những hạn chế nhất định, nhưng đó là những triết lý đặc sắc mang tính chất duy vật và biện chứng của người Trung Hoa thời cổ, đã có ảnh hưởng to lớn tới thế giới quan triết học sau này không những của người Trung Hoa mà cả những nước chịu ảnh hưởng của nền triết học Trung Hoa. "
Âm Dương và Ngũ hành có ý nghĩa gì trong tư tưởng triết học Trung Hoa cổ đại?,"<answer> sự sản sinh biến hóa của vũ trụ <context> Âm Dương và Ngũ hành là hai phạm trù quan trọng trong tư tưởng triết học Trung Hoa, là những khái niệm trừu tượng đầu tiên của người xưa đối với sự sản sinh biến hóa của vũ trụ. Việc sử dụng hai phạm trù Âm - Dương và Ngũ hành đánh dấu bước tiến bộ tư duy khoa học đầu tiên nhằm thoát khỏi sự khống chế về tư tưởng do các khái niệm Thượng đế, Quỷ thần truyền thống đem lại. Đó là cội nguồn của quan điểm duy vật và biện chứng trong tư tưởng triết học của người Trung Hoa. "
Dương có ý nghĩa gì trong tư tưởng triết học Trung Hoa?,"<answer> Dương nguyên nghĩa là ánh sáng mặt trời hay những gì thuộc về ánh sáng mặt trời và ánh sáng <context> Dương nguyên nghĩa là ánh sáng mặt trời hay những gì thuộc về ánh sáng mặt trời và ánh sáng; Âm có nghĩa là thiếu ánh sáng mặt trời, tức là bóng râm hay bóng tối. Về sau, Âm - Dương được coi như hai khí; hai nguyên lý hay hai thế lực vũ trụ: biểu thị cho giống đực, hoạt động, hơi nóng, ánh sáng, khôn ngoan, rắn rỏi, v.v. tức là Dương; giống cái, thụ động, khí lạnh, bóng tối, ẩm ướt, mềm mỏng, v.v. tức là Âm. Chính do sự tác động qua lại giữa chúng mà sinh ra mọi sự vật, hiện tượng trong trời đất. Trong Kinh Dịch sau này có bổ sung thêm lịch trình biến hóa của vũ trụ có khởi điểm là Thái cực. Từ Thái cực mà sinh ra Lưỡng nghi (âm dương), rồi Tứ tượng, rồi Bát quái. Vậy, nguồn gốc vũ trụ là Thái cực, chứ không phải Âm Dương. Đa số học giả đời sau cho Thái cực là thứ khí Tiên Thiên, trong đó tiềm phục hai nguyên tố ngược nhau về tính chất là Âm - Dương. Đây là một quan niệm tiến bộ so với quan niệm Thượng đế làm chủ vũ trụ của các đời trước.  "
"Nguyên lý Trong Âm có Dương, trong Dương có Âm mang ý nghĩa gì?","<answer> khả năng biến đổi Âm Dương <context> Hai thế lực Âm - Dương không tồn tại biệt lập mà thống nhất, chế ước lẫn nhau theo các nguyên lý sau: Âm - Dương thống nhất thành thái cực. Nguyên lý này nói lên tính toàn vẹn, tính chỉnh thể, cân bằng của cái đa và cái duy nhất. Chính nó bao hàm tư tưởng về sự thống nhất giữa cái bất biến và biến đổi. Trong Âm có Dương, trong Dương có Âm. Nguyên lý này nói lên khả năng biến đổi Âm - Dương đã bao hàm trong mỗi mặt đối lập của Thái cực. Các nguyên lý trên được khái quát bằng vòng tròn khép kín, có hai hình đen trắng tượng trưng cho Âm Dương, hai hình này tuy cách biệt hẳn nhau, đối lập nhau nhưng ôm lấy nhau, xoắn lấy nhau.  "
Thuyết Ngũ hành đan xen và Thuyết Ngũ hành tương sinh được áp dụng như thế nào trong triết học Trung Hoa cổ đại?,"<answer> giải thích sự sinh trưởng của vạn vật trong vũ trụ <context> Từ Ngũ hành được dịch là năm yếu tố. Nhưng ta không nên coi chúng là những yếu tố tĩnh mà nên coi là năm thế lực động có ảnh hưởng đến nhau. Từ Hành có nghĩa là làm, hoạt động, cho nên từ Ngũ hành theo nghĩa đen là năm hoạt động, hay năm tác nhân. Người ta cũng gọi là ngũ đức có nghĩa là năm thế lực. Thứ nhất là Thủy, hai là Hỏa, ba là Mộc, bốn là Kim, năm là Thổ. Cuối Tây Chu, xuất hiện thuyết Ngũ hành đan xen. Ngũ hành được dùng để giải thích sự sinh trưởng của vạn vật trong vũ trụ. Thổ mộc hỏa đan xen thành ra trăm vật, hoà hợp thì sinh ra vật, đồng nhất thì không tiếp nối (Quốc ngữ - trịnh ngữ). Tức là nói những vật giống nhau thì không thể kết hợp thành vật mới, chỉ có những vật có tính chất khác nhau mới có thể hóa sinh thành vật mới. Tiếp theo là thuyết Ngũ hành tương thắng, rồi xuất hiện thuyết Ngũ hành tương sinh đã bổ khuyết chỗ chưa đầy đủ của thuyết Ngũ hành đan xen. "
Ai là người đại biểu lớn nhất của việc kết hợp thuyết Âm Dương và Ngũ hành trong thời Chiến Quốc?,"<answer> Trâu Diễn. <context> Thuyết Âm Dương và Ngũ hành được kết hợp làm một vào thời Chiến Quốc đại biểu lớn nhất là Trâu Diễn. Ông đã dùng hệ thống lý luận Âm Dương Ngũ hành tương sinh tương khắc để giải thích mọi vật trong trời đất và giữa nhân gian. Từ đó phát sinh ra quan điểm duy tâm Ngũ đức có trước có sau. Từ thời Tần Hán về sau, các nhà thống trị có ý thức phát triển thuyết Âm Dương Ngũ hành, biến thành một thứ thần học, chẳng hạn thuyết thiên nhân cảm ứng của Đổng Trọng Thư, hoặc Phụng mệnh trời của các triều đại sau đời Hán. "
Ai là người sáng lập của Nho gia?,"<answer> Khổng Tử <context> Nho gia do Khổng Tử (551 - 479 trước Công Nguyên sáng lập) xuất hiện vào khoảng thế kỷ VI trước Công Nguyên dưới thời Xuân Thu. Sau khi Khổng Tử chết, Nho gia chia làm tám phái, quan trọng nhất là phái Mạnh Tử (327 - 289 trước Công Nguyên) và Tuân Tử (313 - 238 trước Công Nguyên). "
